,word_count
1583,12
1584,18
1585,15
1586,22
1587,31
1588,15
1589,21
1590,26
1591,11
1592,31
1593,20
1594,16
1595,21
1596,14
1597,19
1598,16
1599,16
1600,18
1601,21
1602,18
1603,9
1604,28
1605,20
1606,16
1607,17
1608,23
1609,19
1610,16
1611,17
1612,18
1613,19
1614,12
1615,27
1616,21
1617,24
1618,16
1619,14
1620,20
1621,28
1622,27
1623,23
1624,26
1625,21
1626,16
1627,21
1628,11
1629,14
1630,24
1631,12
1632,26
1633,14
1634,18
1635,22
1636,27
1637,25
1638,17
1639,29
1640,17
1641,21
1642,18
1643,25
1644,18
1645,27
1646,28
1647,27
1648,28
1649,11
1650,17
1651,18
1652,18
1653,22
1654,26
1655,22
1656,24
1657,28
1658,10
1659,26
1660,28
1661,23
1662,23
1663,19
1664,12
1665,31
1666,26
1667,12
1668,23
1669,28
1670,23
1671,22
1672,25
1673,9
1674,16
1675,19
1676,21
1677,21
1678,24
1679,24
1680,21
1681,22
1682,10
1683,22
1684,22
1685,18
1686,21
1687,25
1688,17
1689,30
1690,16
1691,26
1692,16
1693,37
1694,22
1695,14
1696,20
1697,21
1698,13
1699,16
1700,21
1701,15
1702,26
1703,20
1704,16
1705,27
1706,33
1707,19
1708,17
1709,10
1710,17
1711,27
1712,14
1713,22
1714,28
1715,23
1716,24
1717,17
1718,19
1719,22
1720,18
1721,17
1722,15
1723,18
1724,13
1725,26
1726,25
1727,19
1728,20
1729,24
1730,26
1731,28
1732,23
1733,31
1734,13
1735,21
1736,25
1737,28
1738,18
1739,17
1740,14
1741,27
1742,26
1743,24
1744,26
1745,16
1746,25
1747,23
1748,16
1749,25
1750,13
1751,20
1752,17
1753,19
1754,21
1755,23
1756,16
1757,33
1758,19
1759,11
1760,18
1761,24
1762,14
1763,20
1764,12
1765,13
1766,26
1767,29
1768,17
1769,19
1770,14
1771,17
1772,16
1773,16
1774,25
1775,22
1776,15
1777,23
1778,20
1779,19
1780,22
1781,21
1782,19
1783,10
1784,10
1785,17
1786,21
1787,11
1788,23
1789,21
1790,15
1791,21
1792,8
1793,29
1794,21
1795,23
1796,20
1797,16
1798,18
1799,14
1800,23
1801,17
1802,24
1803,16
1804,25
1805,21
1806,20
1807,26
1808,26
1809,18
1810,25
1811,12
1812,27
1813,14
1814,20
1815,20
1816,22
1817,31
1818,16
1819,15
1820,26
1821,16
1822,14
1823,15
1824,8
1825,15
1826,24
1827,13
1828,27
1829,20
1830,15
1831,8
1832,20
1833,23
1834,14
1835,17
1836,16
1837,20
1838,14
1839,18
1840,10
1841,9
1842,9
1843,30
1844,15
1845,16
1846,19
1847,17
1848,27
1849,21
1850,16
1851,9
1852,13
1853,20
1854,23
1855,14
1856,15
1857,19
1858,15
1859,18
1860,9
1861,15
1862,25
1863,24
1864,14
1865,23
1866,18
1867,24
1868,9
1869,18
1870,12
1871,14
1872,16
1873,26
1874,15
1875,12
1876,12
1877,18
1878,23
1879,14
1880,18
1881,21
1882,25
1883,28
1884,14
1885,22
1886,17
1887,18
1888,14
1889,27
1890,19
1891,23
1892,13
1893,22
1894,37
1895,14
1896,29
1897,10
1898,20
1899,30
1900,20
1901,25
1902,29
1903,26
1904,23
1905,13
1906,24
1907,18
1908,10
1909,22
1910,29
1911,23
1912,15
1913,29
1914,13
1915,12
1916,23
1917,26
1918,25
1919,26
1920,20
1921,27
1922,13
1923,13
1924,16
1925,27
1926,14
1927,20
1928,26
1929,19
1930,26
1931,15
1932,22
1933,14
1934,13
1935,14
1936,15
1937,20
1938,18
1939,18
1940,23
1941,21
1942,7
1943,21
1944,20
1945,22
1946,28
1947,16
1948,17
1949,36
1950,28
1951,15
1952,22
1953,22
1954,9
1955,25
1956,29
1957,28
1958,25
1959,26
1960,28
1961,18
1962,23
1963,28
1964,27
1965,21
1966,14
1967,14
1968,28
1969,30
1970,15
1971,29
1972,28
1973,15
1974,17
1975,24
1976,30
1977,21
1978,21
1979,18
1980,20
1981,19
1982,20
1983,16
1984,26
1985,19
1986,20
1987,12
1988,29
1989,26
1990,14
1991,19
1992,29
1993,18
1994,17
1995,14
1996,23
1997,13
1998,22
1999,21
2000,25
2001,26
2002,16
2003,15
2004,19
2005,17
2006,29
2007,11
2008,15
2009,22
2010,12
2011,18
2012,23
2013,21
2014,15
2015,25
2016,17
2017,15
2018,18
2019,22
2020,20
2021,23
2022,21
2023,20
2024,17
2025,12
2026,15
2027,20
2028,19
2029,20
2030,14
2031,26
2032,17
2033,16
2034,11
2035,28
2036,11
2037,19
2038,18
2039,8
2040,20
2041,14
2042,10
2043,17
2044,20
2045,21
2046,23
2047,16
2048,21
2049,10
2050,30
2051,35
2052,25
2053,17
2054,19
2055,22
2056,19
2057,30
2058,22
2059,19
2060,21
2061,24
2062,26
2063,21
2064,25
2065,10
2066,18
2067,24
2068,18
2069,15
2070,30
2071,14
2072,18
2073,20
2074,24
2075,14
2076,19
2077,14
2078,15
2079,19
2080,17
2081,12
2082,19
2083,18
2084,18
2085,16
2086,9
2087,7
2088,24
2089,23
2090,20
2091,19
2092,14
2093,21
2094,14
2095,24
2096,10
2097,34
2098,26
2099,16
2100,22
2101,18
2102,9
2103,16
2104,19
2105,20
2106,18
2107,19
2108,27
2109,13
2110,18
2111,15
2112,17
2113,16
2114,16
2115,21
2116,27
2117,23
2118,21
2119,25
2120,17
2121,10
2122,22
2123,23
2124,12
2125,16
2126,22
2127,24
2128,6
2129,19
2130,17
2131,10
2132,13
2133,20
2134,22
2135,23
2136,21
2137,19
2138,14
2139,14
2140,17
2141,15
2142,26
2143,19
2144,15
2145,20
2146,20
2147,24
2148,14
2149,16
2150,26
2151,21
2152,18
2153,11
2154,24
2155,9
2156,15
2157,21
2158,11
2159,10
2160,18
2161,25
2162,13
2163,23
2164,13
2165,21
2166,14
2167,26
2168,28
2169,14
2170,24
2171,25
2172,24
2173,13
2174,28
2175,29
2176,28
2177,23
2178,11
2179,28
2180,27
2181,27
2182,26
2183,29
2184,16
2185,13
2186,32
2187,20
2188,23
2189,20
2190,29
2191,20
2192,12
2193,14
2194,20
2195,20
2196,26
2197,13
2198,14
2199,19
2200,19
2201,17
2202,19
2203,17
2204,26
2205,18
2206,15
2207,15
2208,26
2209,10
2210,16
2211,17
2212,11
2213,24
2214,16
2215,16
2216,21
2217,19
2218,13
2219,18
2220,14
2221,18
2222,31
2223,16
2224,13
2225,9
2226,24
2227,12
2228,22
2229,19
2230,16
2231,6
2232,30
2233,10
2234,12
2235,13
2236,16
2237,18
2238,17
2239,27
2240,23
2241,26
2242,25
2243,17
2244,46
2245,16
2246,9
2247,23
2248,18
2249,29
2250,20
2251,22
2252,14
2253,13
2254,25
2255,11
2256,13
2257,17
2258,12
2259,15
2260,25
2261,23
2262,16
2263,11
2264,17
2265,24
2266,21
2267,26
2268,27
2269,17
2270,41
2271,14
2272,22
2273,15
2274,6
2275,29
2276,12
2277,15
2278,15
2279,21
2280,21
2281,28
2282,25
2283,16
2284,30
2285,14
2286,36
2287,15
2288,18
2289,24
2290,31
2291,24
2292,27
2293,13
2294,25
2295,15
2296,23
2297,18
2298,27
2299,8
2300,18
2301,15
2302,10
2303,12
2304,23
2305,15
2306,20
2307,29
2308,25
2309,12
2310,19
2311,19
2312,22
2313,22
2314,17
2315,26
2316,22
2317,11
2318,16
2319,18
2320,12
2321,17
2322,17
2323,18
2324,42
2325,20
2326,9
2327,34
2328,23
2329,13
2330,25
2331,25
2332,21
2333,15
2334,19
2335,22
2336,28
2337,22
2338,10
2339,10
2340,25
2341,18
2342,14
2343,27
2344,29
2345,17
2346,21
2347,14
2348,13
2349,18
2350,26
2351,24
2352,10
2353,18
2354,18
2355,18
2356,22
2357,15
2358,21
2359,17
2360,26
2361,20
2362,19
2363,21
2364,20
2365,30
2366,25
2367,23
2368,21
2369,19
2370,21
2371,25
2372,14
2373,21
2374,15
2375,20
2376,26
2377,39
2378,20
2379,8
2380,15
2381,11
2382,16
2383,16
2384,8
2385,17
2386,18
2387,28
2388,21
2389,14
2390,24
2391,15
2392,17
2393,17
2394,10
2395,22
2396,26
2397,16
2398,25
2399,20
2400,22
2401,23
2402,21
2403,19
2404,11
2405,21
2406,17
2407,22
2408,15
2409,19
2410,16
2411,11
2412,9
2413,28
2414,19
2415,20
2416,16
2417,20
2418,21
2419,17
2420,25
2421,25
2422,12
2423,17
2424,21
2425,18
2426,22
2427,6
2428,22
2429,24
2430,14
2431,20
2432,24
2433,22
2434,21
2435,18
2436,19
2437,11
2438,19
2439,11
2440,22
2441,23
2442,20
2443,20
2444,25
2445,18
2446,20
2447,22
2448,23
2449,33
2450,16
2451,20
2452,19
2453,17
2454,16
2455,22
2456,17
2457,28
2458,17
2459,14
2460,14
2461,12
2462,17
2463,30
2464,19
2465,18
2466,17
2467,19
2468,15
2469,18
2470,24
2471,31
2472,20
2473,12
2474,27
2475,30
2476,9
2477,19
2478,14
2479,16
2480,20
2481,12
2482,24
2483,24
2484,22
2485,18
2486,14
2487,28
2488,14
2489,23
2490,15
2491,16
2492,18
2493,18
2494,17
2495,17
2496,24
2497,31
2498,23
2499,14
2500,22
2501,10
2502,22
2503,17
2504,12
2505,20
2506,17
2507,18
2508,15
2509,22
2510,20
2511,11
2512,13
2513,24
2514,26
2515,14
2516,16
2517,19
2518,17
2519,27
2520,27
2521,17
2522,30
2523,15
2524,13
2525,27
2526,24
2527,21
2528,14
2529,21
2530,16
2531,24
2532,24
2533,21
2534,19
2535,17
2536,31
2537,23
2538,38
2539,27
2540,12
2541,11
2542,17
2543,16
2544,15
2545,13
2546,18
2547,14
2548,15
2549,11
2550,19
2551,21
2552,13
2553,26
2554,19
2555,13
2556,23
2557,18
2558,19
2559,19
2560,21
2561,22
2562,24
2563,18
2564,24
2565,13
2566,13
2567,23
2568,15
2569,20
2570,18
2571,17
2572,26
2573,16
2574,20
2575,9
2576,28
2577,20
2578,28
